iter	Passed	Remaining
727	3461	1293
728	3465	1288
729	3469	1283
730	3474	1278
731	3478	1273
732	3483	1269
733	3487	1264
734	3492	1259
735	3497	1254
736	3502	1249
737	3507	1245
738	3511	1240
739	3515	1235
740	3520	1230
741	3525	1225
742	3528	1220
743	3534	1216
744	3537	1210
745	3542	1206
746	3547	1201
747	3552	1196
748	3557	1192
749	3562	1187
750	3566	1182
751	3571	1177
752	3575	1172
753	3579	1167
754	3585	1163
755	3589	1158
756	3593	1153
757	3598	1148
758	3604	1144
759	3607	1139
760	3611	1134
761	3616	1129
762	3620	1124
763	3624	1119
764	3629	1115
765	3633	1109
766	3637	1105
767	3641	1100
768	3646	1095
769	3649	1090
770	3654	1085
771	3660	1080
772	3664	1076
773	3668	1071
774	3674	1066
775	3678	1061
776	3684	1057
777	3688	1052
778	3693	1047
779	3696	1042
780	3701	1037
781	3707	1033
782	3711	1028
783	3717	1024
784	3721	1019
785	3726	1014
786	3730	1009
787	3735	1004
788	3739	999
789	3743	995
790	3746	989
791	3751	985
792	3756	980
793	3761	975
794	3766	971
795	3770	966
796	3774	961
797	3777	956
798	3782	951
799	3786	946
800	3791	942
801	3796	937
802	3800	932
803	3804	927
804	3809	922
805	3814	918
806	3818	913
807	3822	908
808	3827	903
809	3831	898
810	3836	894
811	3840	889
812	3845	884
813	3848	879
814	3853	874
815	3859	870
816	3863	865
817	3868	860
818	3872	855
819	3877	851
820	3881	846
821	3887	841
822	3891	836
823	3895	832
824	3900	827
825	3905	822
826	3910	817
827	3915	813
828	3919	808
829	3924	803
830	3928	798
831	3934	794
832	3939	789
833	3944	785
834	3949	780
835	3953	775
836	3958	770
837	3963	766
838	3967	761
839	3973	756
840	3977	751
841	3982	747
842	3987	742
843	3991	737
844	3996	733
845	4001	728
846	4006	723
847	4010	718
848	4015	714
849	4019	709
850	4023	704
851	4028	699
852	4032	695
853	4037	690
854	4042	685
855	4047	680
856	4052	676
857	4057	671
858	4063	666
859	4067	662
860	4071	657
861	4077	652
862	4081	647
863	4087	643
864	4091	638
865	4095	633
866	4100	629
867	4105	624
868	4110	619
869	4116	615
870	4120	610
871	4125	605
872	4129	600
873	4133	595
874	4138	591
875	4143	586
876	4148	581
877	4152	577
878	4157	572
879	4161	567
880	4166	562
881	4173	558
882	4178	553
883	4183	548
884	4187	544
885	4192	539
886	4197	534
887	4201	529
888	4206	525
889	4210	520
890	4215	515
891	4219	510
892	4224	506
893	4228	501
894	4232	496
895	4237	491
896	4243	487
897	4246	482
898	4252	477
899	4255	472
900	4260	468
901	4264	463
902	4269	458
903	4274	453
904	4278	449
905	4284	444
906	4288	439
907	4292	434
908	4297	430
909	4302	425
910	4306	420
911	4311	415
912	4316	411
913	4320	406
914	4326	401
915	4331	397
916	4335	392
917	4339	387
918	4343	382
919	4348	378
920	4352	373
921	4357	368
922	4361	363
923	4366	359
924	4372	354
925	4376	349
926	4382	345
927	4387	340
928	4393	335
929	4399	331
930	4404	326
931	4409	321
932	4414	317
933	4418	312
934	4424	307
935	4429	302
936	4433	298
937	4439	293
938	4444	288
939	4449	284
940	4455	279
941	4460	274
942	4465	269
943	4470	265
944	4476	260
945	4481	255
946	4487	251
947	4493	246
948	4497	241
949	4502	236
950	4507	232
951	4512	227
952	4517	222
953	4522	218
954	4527	213
955	4532	208
956	4539	203
957	4544	199
958	4549	194
959	4554	189
960	4559	185
961	4563	180
962	4569	175
963	4575	170
964	4580	166
965	4584	161
966	4590	156
967	4595	151
968	4600	147
969	4605	142
970	4610	137
971	4614	132
972	4620	128
973	4625	123
974	4630	118
975	4636	114
976	4640	109
977	4645	104
978	4650	99
979	4655	95
980	4660	90
981	4665	85
982	4671	80
983	4676	76
984	4680	71
985	4686	66
986	4691	61
987	4696	57
988	4702	52
989	4706	47
990	4711	42
991	4716	38
992	4720	33
993	4726	28
994	4731	23
995	4735	19
996	4741	14
997	4746	9
998	4752	4
999	4757	0
